playlist,track_id,year
Replay 2022,1976,2022
Replay 2022,5053,2022
Replay 2022,3091,2022
Replay 2022,1514,2022
Replay 2022,3881,2022
Replay 2022,2991,2022
Replay 2022,3989,2022
Replay 2022,3969,2022
Replay 2022,2299,2022
Replay 2022,3455,2022
Replay 2022,2130,2022
Replay 2022,2953,2022
Replay 2022,5025,2022
Replay 2022,1502,2022
Replay 2022,1812,2022
Replay 2022,5055,2022
Replay 2022,1820,2022
Replay 2022,2981,2022
Replay 2022,1798,2022
Replay 2022,2136,2022
Replay 2022,1834,2022
Replay 2022,2291,2022
Replay 2022,1340,2022
Replay 2022,2757,2022
Replay 2022,3973,2022
Replay 2022,1526,2022
Replay 2022,1688,2022
Replay 2022,2012,2022
Replay 2022,2218,2022
Replay 2022,1648,2022
Replay 2022,3227,2022
Replay 2022,3879,2022
Replay 2023,4061,2023
Replay 2023,3125,2023
Replay 2023,3453,2023
Replay 2023,4057,2023
Replay 2023,1344,2023
Replay 2023,2271,2023
Replay 2023,2937,2023
Replay 2023,3135,2023
Replay 2023,3121,2023
Replay 2023,1640,2023
Replay 2023,5053,2023
Replay 2023,4189,2023
Replay 2023,4053,2023
Replay 2023,1474,2023
Replay 2023,3987,2023
Replay 2023,1332,2023
Replay 2023,1676,2023
Replay 2023,2921,2023
Replay 2023,1624,2023
Replay 2023,4895,2023
Replay 2023,1428,2023
Replay 2023,3131,2023
Replay 2023,4055,2023
Replay 2023,4065,2023
Replay 2023,3119,2023
Replay 2023,2387,2023
Replay 2023,3459,2023
Replay 2023,1870,2023
Replay 2023,3461,2023
Replay 2023,1720,2023
Replay 2023,5061,2023
Replay 2023,2353,2023
Replay 2023,5211,2023
Replay 2023,1822,2023
Replay 2023,3975,2023
Replay 2023,3715,2023
Replay 2023,5015,2023
Replay 2023,4059,2023
Replay 2023,3123,2023
Replay 2023,1708,2023
Replay 2023,3743,2023
Replay 2023,1622,2023
Replay 2023,1528,2023
Replay 2023,3183,2023
Replay 2023,3173,2023
Replay 2023,3175,2023
Replay 2023,3177,2023
Replay 2023,1410,2023
Replay 2023,1366,2023
Replay 2023,2945,2023
Replay 2023,2889,2023
Replay 2023,1416,2023
Replay 2023,5067,2023
Replay 2023,1556,2023
Replay 2023,2899,2023
Replay 2023,2989,2023
Replay 2023,4063,2023
Replay 2023,2291,2023
Replay 2023,1346,2023
Replay 2023,3091,2023
Replay 2023,3229,2023
Replay 2023,2092,2023
Replay 2023,5057,2023
Replay 2023,1728,2023
Replay 2023,1852,2023
Replay 2023,1340,2023
Replay 2023,1530,2023
Replay 2023,3995,2023
Replay 2023,2299,2023
Replay 2023,1842,2023
Replay 2023,1846,2023
Replay 2023,2243,2023
Replay 2023,1704,2023
Replay 2023,2925,2023
Replay 2023,1402,2023
Replay 2023,2893,2023
Replay 2023,1684,2023
Replay 2023,5207,2023
Replay 2023,2323,2023
Replay 2023,2543,2023
Replay 2023,2991,2023
Replay 2023,3993,2023
Replay 2023,1872,2023
Replay 2023,3623,2023
Replay 2023,1648,2023
Replay 2023,5009,2023
Replay 2023,5023,2023
Replay 2023,2265,2023
Replay 2023,3081,2023
Replay 2023,2329,2023
Replay 2023,5059,2023
Replay 2023,2180,2023
Replay 2023,2295,2023
Replay 2023,1812,2023
Replay 2023,1414,2023
Replay 2023,2130,2023
Replay 2023,2757,2023
Replay 2023,5069,2023
Replay 2024,3671,2024
Replay 2024,3135,2024
Replay 2024,3453,2024
Replay 2024,3183,2024
Replay 2024,3175,2024
Replay 2024,1622,2024
Replay 2024,3173,2024
Replay 2024,1624,2024
Replay 2024,4057,2024
Replay 2024,3121,2024
Replay 2024,1640,2024
Replay 2024,4061,2024
Replay 2024,3131,2024
Replay 2024,5211,2024
Replay 2024,3423,2024
Replay 2024,4053,2024
Replay 2024,4029,2024
Replay 2024,3551,2024
Replay 2024,3461,2024
Replay 2024,3119,2024
Replay 2024,4063,2024
Replay 2024,3549,2024
Replay 2024,4023,2024
Replay 2024,3795,2024
Replay 2024,3675,2024
Replay 2024,4059,2024
Replay 2024,3855,2024
Replay 2024,4065,2024
